-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2015 through 01/01/2023 
Location: Latitude  24.87   Longitude 67.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.05 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M_RANGE             MERRA-2 Temperature at 2 Meters Range (C) 
WS10M_RANGE           MERRA-2 Wind Speed at 10 Meters Range (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M_RANGE,WS10M_RANGE
2021,12,17,4.27,10.61,2.09
2021,12,18,4.21,11.22,2.19
2021,12,19,4.29,10.17,2.28
2021,12,20,4.15,9.34,2.14
2021,12,21,3.86,7.22,1.44
2021,12,22,3.49,6.87,3.39
2021,12,23,3.41,6.24,2.54
2021,12,24,3.21,7.08,3.15
2021,12,25,3.22,7.67,2.21
2021,12,26,3.44,4.2,2.71
2021,12,27,1.07,7.18,6.27
2021,12,28,3.22,6.46,3.46
2021,12,29,3.73,8.2,3.55
2021,12,30,3.95,8.61,2.16
2021,12,31,4.03,8.88,2.62
2022,1,1,3.96,8.89,3.97
2022,1,2,4.29,10.02,2.2
2022,1,3,2.85,10.91,4.77
2022,1,4,2.27,5.97,2.77
2022,1,5,3.35,5.31,4.81
2022,1,6,2.4,6.13,3.04
2022,1,7,4.02,5.35,6.49
2022,1,8,4.75,5.97,4.6
2022,1,9,4.81,8.38,3.68
2022,1,10,4.69,6.99,2.81
2022,1,11,4.72,8.8,2.47
2022,1,12,4.82,7.48,2.57
2022,1,13,4.67,8.05,2.12
2022,1,14,4.85,8.74,2.67
2022,1,15,4.67,9.93,2.98
2022,1,16,4.73,9.96,3.12
2022,1,17,4.46,9.96,4.34
2022,1,18,4.59,9.65,1.77
2022,1,19,4.56,8.05,3.84
2022,1,20,4.47,8.23,2.65
2022,1,21,4.34,5.4,7.89
2022,1,22,3.97,8.37,5.52
2022,1,23,5.18,10.06,6.08
2022,1,24,5.44,10.38,4.48
2022,1,25,5.39,8.77,3.03
2022,1,26,5.2,10.56,2.48
2022,1,27,5.25,9.6,1.75
2022,1,28,5.2,10.04,3.88
2022,1,29,5.22,8.69,1.85
2022,1,30,5.05,7.34,3.21
2022,1,31,5.26,7.93,1.93
2022,2,1,5.14,12.06,2.73
2022,2,2,5.23,8.65,5.53
2022,2,3,5.04,13.55,5.38
2022,2,4,5.85,13.38,4.31
2022,2,5,5.64,8.66,4.8
2022,2,6,5.33,6.92,3.63
2022,2,7,4.49,5.91,1.72
2022,2,8,4.74,6.69,4.05
2022,2,9,5.49,8.62,2.46
2022,2,10,5.56,8.84,2.41
2022,2,11,5.73,10.98,4.06
2022,2,12,5.74,10.59,1.74
2022,2,13,5.78,8.82,1.62
2022,2,14,5.59,8.17,2.73
2022,2,15,5.73,10.12,2.48
2022,2,16,5.47,11.55,3.58
2022,2,17,5.66,10.09,3.12
2022,2,18,5.68,9.98,2.84
2022,2,19,5.65,11.2,3.78
2022,2,20,6.03,12.35,2.73
2022,2,21,6.08,10.2,4.73
2022,2,22,5.97,7.66,3.54
2022,2,23,5.67,12.23,3.59
2022,2,24,5.92,11.39,5.43
2022,2,25,6.03,9.52,2.13
2022,2,26,5.95,11.98,3.82
2022,2,27,5.85,11.17,5.82
2022,2,28,5.85,11.89,4.44
2022,3,1,6.0,9.86,2.1
2022,3,2,5.84,7.19,3.7
2022,3,3,6.24,10.39,4.84
2022,3,4,6.27,10.98,2.63
2022,3,5,5.95,11.68,3.8
2022,3,6,4.78,8.48,2.13
2022,3,7,6.13,9.69,1.51
2022,3,8,6.3,11.54,3.72
2022,3,9,6.02,11.04,3.46
2022,3,10,5.83,11.66,3.04
2022,3,11,6.07,12.66,4.62
2022,3,12,6.34,11.07,2.55
2022,3,13,6.53,11.18,3.38
2022,3,14,6.56,10.08,3.62
2022,3,15,6.69,9.25,3.7
2022,3,16,6.86,9.82,2.57
2022,3,17,7.09,10.43,3.86
2022,3,18,6.76,9.8,2.88
2022,3,19,5.89,10.09,3.13
2022,3,20,6.54,8.3,2.94
2022,3,21,6.69,8.81,1.68
2022,3,22,6.58,7.56,2.84
2022,3,23,6.95,7.75,3.17
2022,3,24,6.5,9.71,2.93
2022,3,25,6.86,12.45,3.78
2022,3,26,6.97,12.15,3.34
2022,3,27,7.03,12.23,3.26
2022,3,28,6.97,9.62,2.5
2022,3,29,6.89,10.01,3.09
2022,3,30,6.95,12.93,4.3
2022,3,31,7.12,14.33,2.98
2022,4,1,7.52,12.97,4.77
2022,4,2,7.53,13.58,2.69
2022,4,3,7.34,10.7,3.21
2022,4,4,7.37,10.55,2.73
2022,4,5,7.17,10.48,3.4
2022,4,6,6.92,11.75,4.62
2022,4,7,6.71,11.06,3.35
2022,4,8,7.25,10.29,4.28
2022,4,9,7.32,10.64,3.54
2022,4,10,7.27,11.23,4.48
2022,4,11,7.13,6.7,2.51
2022,4,12,7.23,7.55,3.26
2022,4,13,7.15,7.85,2.57
2022,4,14,7.16,10.46,3.88
2022,4,15,7.28,11.4,4.96
2022,4,16,7.16,8.47,3.64
2022,4,17,7.07,7.71,3.91
2022,4,18,6.87,7.05,3.78
2022,4,19,6.83,6.63,2.11
2022,4,20,6.75,8.3,4.0
2022,4,21,7.15,9.79,3.99
2022,4,22,7.12,7.95,3.14
2022,4,23,7.17,9.22,3.27
2022,4,24,7.4,7.77,2.7
2022,4,25,7.44,7.56,3.58
2022,4,26,7.26,8.55,4.25
2022,4,27,7.44,9.0,3.93
2022,4,28,7.53,10.02,3.59
2022,4,29,7.02,7.48,4.55
2022,4,30,7.26,9.52,2.62
2022,5,1,7.44,6.5,2.73
2022,5,2,7.43,8.11,5.32
2022,5,3,7.09,7.42,3.48
2022,5,4,7.32,7.63,2.9
2022,5,5,7.12,8.4,2.96
2022,5,6,6.9,8.86,3.33
2022,5,7,6.68,6.2,2.8
2022,5,8,7.29,6.95,3.16
2022,5,9,7.14,6.62,2.91
2022,5,10,7.18,8.42,2.57
2022,5,11,7.38,9.3,5.22
2022,5,12,7.35,10.29,2.78
2022,5,13,7.39,10.2,5.09
2022,5,14,7.58,11.57,5.63
2022,5,15,7.33,8.15,4.35
2022,5,16,6.8,9.95,5.05
2022,5,17,6.71,9.98,5.12
2022,5,18,7.16,8.75,4.67
2022,5,19,6.85,7.31,3.77
2022,5,20,6.95,5.46,3.2
2022,5,21,6.65,5.72,2.43
2022,5,22,6.88,5.91,1.31
2022,5,23,6.02,10.41,3.88
2022,5,24,7.1,8.74,2.56
2022,5,25,6.36,5.71,2.68
2022,5,26,6.18,5.3,1.91
2022,5,27,6.28,5.39,3.56
2022,5,28,6.17,6.5,2.48
2022,5,29,6.56,7.0,1.45
2022,5,30,6.47,6.64,3.83
2022,5,31,7.04,5.3,2.7
2022,6,1,7.32,6.67,3.14
2022,6,2,7.47,8.9,2.81
2022,6,3,7.5,8.37,3.66
2022,6,4,7.35,6.55,3.92
2022,6,5,7.09,5.92,3.25
2022,6,6,7.36,5.73,1.71
2022,6,7,7.48,5.85,2.7
2022,6,8,7.71,5.0,1.99
2022,6,9,6.6,4.7,2.67
2022,6,10,6.21,4.94,1.66
2022,6,11,6.69,5.01,2.55
2022,6,12,6.49,4.85,3.52
2022,6,13,6.77,4.96,2.72
2022,6,14,7.09,6.09,2.11
2022,6,15,6.99,5.16,3.16
2022,6,16,6.01,4.67,2.21
2022,6,17,6.29,4.72,1.93
2022,6,18,5.85,4.88,2.18
2022,6,19,5.66,4.99,2.17
2022,6,20,5.15,4.27,1.68
2022,6,21,5.26,7.35,2.96
2022,6,22,5.75,6.07,3.92
2022,6,23,6.21,7.47,5.34
2022,6,24,6.61,5.16,2.62
2022,6,25,6.98,5.08,1.66
2022,6,26,6.89,5.59,1.89
2022,6,27,6.07,4.89,1.62
2022,6,28,6.76,4.82,1.66
2022,6,29,6.16,4.39,2.38
2022,6,30,4.97,4.27,1.89
2022,7,1,5.22,3.59,2.21
2022,7,2,2.46,3.16,2.81
2022,7,3,4.54,4.77,2.34
2022,7,4,5.02,2.8,0.85
2022,7,5,5.05,6.39,3.18
2022,7,6,3.78,2.21,2.12
2022,7,7,4.06,5.44,4.67
2022,7,8,3.93,1.76,5.19
2022,7,9,2.43,2.61,3.89
2022,7,10,4.39,2.66,1.25
2022,7,11,3.81,1.98,1.77
2022,7,12,5.17,3.84,1.05
2022,7,13,6.24,3.03,3.41
2022,7,14,6.11,4.64,1.98
2022,7,15,5.43,3.85,6.34
2022,7,16,4.92,3.17,2.82
2022,7,17,5.39,5.86,3.14
2022,7,18,5.67,3.69,5.42
2022,7,19,6.56,3.92,3.34
2022,7,20,6.29,3.04,2.93
2022,7,21,4.4,2.96,4.59
2022,7,22,3.86,3.4,2.22
2022,7,23,4.05,1.71,2.38
2022,7,24,0.77,1.71,3.32
2022,7,25,3.99,2.52,5.06
2022,7,26,4.18,2.8,2.41
2022,7,27,3.32,3.23,2.6
2022,7,28,6.07,2.1,1.84
2022,7,29,4.33,3.31,2.85
2022,7,30,4.91,2.39,1.95
2022,7,31,5.36,1.98,2.62
2022,8,1,3.47,3.3,2.87
2022,8,2,4.89,3.41,2.87
2022,8,3,4.91,3.79,2.09
2022,8,4,6.26,3.52,1.24
2022,8,5,5.37,3.58,1.16
2022,8,6,3.89,3.04,1.16
2022,8,7,5.82,3.95,2.16
2022,8,8,4.87,3.06,1.72
2022,8,9,6.5,3.34,3.22
2022,8,10,4.5,3.77,2.11
2022,8,11,3.83,2.67,1.13
2022,8,12,3.24,3.85,5.4
2022,8,13,4.19,2.92,3.23
2022,8,14,4.39,5.63,4.4
2022,8,15,3.38,3.55,5.89
2022,8,16,2.68,3.2,3.99
2022,8,17,1.77,2.1,2.81
2022,8,18,2.32,1.98,5.41
2022,8,19,2.0,1.91,3.0
2022,8,20,3.66,2.77,1.58
2022,8,21,4.29,3.3,1.91
2022,8,22,4.92,3.54,2.45
2022,8,23,2.18,4.17,3.54
2022,8,24,2.51,1.9,3.89
2022,8,25,4.3,2.7,3.82
2022,8,26,5.99,3.49,2.07
2022,8,27,4.57,3.4,2.02
2022,8,28,5.66,3.34,3.45
2022,8,29,5.14,3.84,2.73
2022,8,30,5.82,3.59,1.41
2022,8,31,6.68,3.45,1.9
2022,9,1,4.97,3.84,3.03
2022,9,2,5.8,3.81,1.95
2022,9,3,6.56,3.77,2.33
2022,9,4,5.73,2.74,2.79
2022,9,5,5.81,3.29,4.57
2022,9,6,6.39,4.45,1.51
2022,9,7,6.62,5.3,0.84
2022,9,8,6.75,5.63,2.03
2022,9,9,6.63,7.28,3.54
2022,9,10,6.14,4.88,1.16
2022,9,11,5.88,3.14,3.19
2022,9,12,2.94,3.02,3.18
2022,9,13,5.58,4.84,1.48
2022,9,14,5.85,6.0,1.28
2022,9,15,5.6,3.78,4.29
2022,9,16,5.48,3.2,2.94
2022,9,17,5.55,3.8,3.38
2022,9,18,6.01,4.87,1.6
2022,9,19,6.48,4.86,2.43
2022,9,20,6.22,4.46,2.34
2022,9,21,6.11,4.17,1.98
2022,9,22,5.97,4.21,2.7
2022,9,23,5.73,3.72,3.41
2022,9,24,4.79,3.68,3.41
2022,9,25,5.58,3.9,2.6
2022,9,26,5.95,4.53,2.19
2022,9,27,6.1,5.04,2.34
2022,9,28,6.17,4.8,2.19
2022,9,29,6.04,5.2,1.58
2022,9,30,6.47,5.23,2.12
2022,10,1,6.42,5.05,2.54
2022,10,2,6.08,4.55,2.43
2022,10,3,6.06,4.92,1.51
2022,10,4,6.02,5.87,1.91
2022,10,5,6.28,6.38,1.53
2022,10,6,6.22,6.9,1.02
2022,10,7,5.09,8.63,2.23
2022,10,8,5.92,11.12,1.5
2022,10,9,5.91,9.95,2.95
2022,10,10,6.05,9.03,1.16
2022,10,11,6.28,10.31,1.69
2022,10,12,6.22,10.09,1.12
2022,10,13,6.23,9.83,1.66
2022,10,14,6.01,9.14,1.39
2022,10,15,5.98,9.26,1.2
2022,10,16,5.85,10.44,2.27
2022,10,17,5.86,9.8,2.82
2022,10,18,5.93,7.82,1.74
2022,10,19,5.84,7.51,1.33
2022,10,20,5.84,7.19,1.6
2022,10,21,5.68,7.2,2.45
2022,10,22,5.43,9.34,1.95
2022,10,23,5.56,8.15,2.66
2022,10,24,5.39,7.56,2.06
2022,10,25,5.34,6.91,3.81
2022,10,26,5.14,6.7,1.68
2022,10,27,5.23,5.86,2.41
2022,10,28,5.32,6.51,2.32
2022,10,29,5.15,7.57,1.95
2022,10,30,5.07,8.52,1.4
2022,10,31,5.31,8.25,1.01
2022,11,1,5.29,7.23,1.47
2022,11,2,5.05,8.33,1.5
2022,11,3,5.18,7.48,1.09
2022,11,4,5.31,8.05,1.35
2022,11,5,5.3,8.05,2.45
2022,11,6,4.79,7.26,1.39
2022,11,7,4.37,5.17,2.0
2022,11,8,4.76,7.35,1.9
2022,11,9,4.67,8.48,2.73
2022,11,10,4.76,7.6,1.49
2022,11,11,4.68,9.47,1.99
2022,11,12,4.65,7.97,2.78
2022,11,13,4.61,7.6,2.31
2022,11,14,4.6,6.57,3.55
2022,11,15,4.5,8.77,4.41
2022,11,16,4.38,8.7,2.73
2022,11,17,4.51,8.47,2.13
2022,11,18,4.74,6.14,3.05
2022,11,19,4.64,7.8,2.48
2022,11,20,4.55,8.62,2.05
2022,11,21,4.51,8.89,1.59
2022,11,22,4.54,9.62,3.36
2022,11,23,4.73,9.83,2.92
2022,11,24,4.84,7.6,2.34
2022,11,25,4.76,7.8,1.3
2022,11,26,4.73,9.64,2.88
2022,11,27,4.67,8.61,2.73
2022,11,28,4.79,10.33,3.03
2022,11,29,4.6,9.0,1.99
2022,11,30,4.65,10.94,2.77
2022,12,1,4.52,11.07,4.21
2022,12,2,4.46,8.02,1.67
2022,12,3,4.37,9.76,2.63
2022,12,4,4.31,9.98,1.59
2022,12,5,4.27,8.99,1.85
2022,12,6,4.41,9.46,2.95
2022,12,7,4.38,10.14,1.57
2022,12,8,4.4,9.12,0.66
2022,12,9,4.39,9.74,2.59
2022,12,10,4.25,9.8,3.94
2022,12,11,4.35,10.9,3.41
2022,12,12,4.3,10.58,3.7
2022,12,13,4.47,10.18,4.17
2022,12,14,4.44,11.7,4.61
2022,12,15,4.66,10.12,3.09
2022,12,16,4.47,9.65,2.95
2022,12,17,4.21,10.53,2.67
2022,12,18,4.21,7.76,3.76
2022,12,19,4.27,10.7,3.42
2022,12,20,4.14,10.1,3.44
2022,12,21,4.52,10.15,3.74
2022,12,22,4.53,10.09,2.73
2022,12,23,4.37,7.65,2.29
2022,12,24,4.44,9.66,3.39
2022,12,25,4.3,8.56,2.94
2022,12,26,4.13,9.4,3.62
2022,12,27,4.25,10.4,3.97
2022,12,28,4.17,8.79,2.25
2022,12,29,3.98,8.08,3.59
2022,12,30,4.58,10.19,4.31
2022,12,31,4.57,9.57,2.99
2023,1,1,4.54,8.9,3.17
